as_of,component,phase,formed,today,symbol,sign,weight,k,exposure,margin
2026-09-23,trend,0,2026-09-21,False,1000PEPEUSDT,1,0.002730701200433125,0.5708527631823012,0.0015588283256924762,0.0007794141628462381
2026-09-23,trend,0,2026-09-21,False,ACEUSDT,-1,-0.000953470615923913,0.5708527631823012,-0.0005442913357132964,0.0002721456678566482
2026-09-23,trend,0,2026-09-21,False,ADAUSDT,1,0.003647844296422822,0.5708527631823012,0.002082381996271765,0.0010411909981358825
2026-09-23,trend,0,2026-09-21,False,AKEUSDT,1,0.0004616241682955238,0.5708527631823012,0.00026351943202323135,0.00013175971601161568
2026-09-23,trend,0,2026-09-21,False,BNBUSDT,1,0.006957438501210036,0.5708527631823012,0.003971672993086677,0.0019858364965433385
2026-09-23,trend,0,2026-09-21,False,BTCUSDT,1,0.006532574650673029,0.5708527631823012,0.0037291382900313543,0.0018645691450156771
2026-09-23,trend,0,2026-09-21,False,BTWUSDT,1,0.0009827020280730907,0.5708527631823012,0.0005609781681103752,0.0002804890840551876
2026-09-23,trend,0,2026-09-21,False,CYSUSDT,-1,-0.0009172415840753924,0.5708527631823012,-0.0005236098927751487,0.00026180494638757435
2026-09-23,trend,0,2026-09-21,False,DOGEUSDT,1,0.0040919974308684754,0.5708527631823012,0.0023359280403461467,0.0011679640201730733
2026-09-23,trend,0,2026-09-21,False,ENAUSDT,1,0.00220911836622968,0.5708527631823012,0.0012610813235589837,0.0006305406617794918
2026-09-23,trend,0,2026-09-21,False,ETHUSDT,1,0.004813929066835339,0.5708527631823012,0.00274804470956655,0.001374022354783275
2026-09-23,trend,0,2026-09-21,False,HYPEUSDT,1,0.0033347832093603242,0.5708527631823012,0.0019036702096772835,0.0009518351048386417
2026-09-23,trend,0,2026-09-21,False,LINKUSDT,1,0.00426155613077262,0.5708527631823012,0.002432721092708026,0.001216360546354013
2026-09-23,trend,0,2026-09-21,False,PUMPUSDT,-1,-0.002158486101667461,0.5708527631823012,-0.0012321777554274637,0.0006160888777137319
2026-09-23,trend,0,2026-09-21,False,SOLUSDT,1,0.004438960545201384,0.5708527631823012,0.0025339928928854237,0.0012669964464427118
2026-09-23,trend,0,2026-09-21,False,SUIUSDT,1,0.003356883656068527,0.5708527631823012,0.0019162863107482241,0.0009581431553741121
2026-09-23,trend,0,2026-09-21,False,TRUMPUSDT,-1,-0.0024822577818018957,0.5708527631823012,-0.0014170037136723816,0.0007085018568361908
2026-09-23,trend,0,2026-09-21,False,TUTUSDT,-1,-0.0006729595687911947,0.5708527631823012,-0.0003841608293544234,0.0001920804146772117
2026-09-23,trend,0,2026-09-21,False,XRPUSDT,1,0.003936629054986361,0.5708527631823012,0.002247235573662695,0.0011236177868313474
2026-09-23,trend,0,2026-09-21,False,ZECUSDT,1,0.001993673458095699,0.5708527631823012,0.0011380940024371435,0.0005690470012185717
2026-09-23,trend,1,2026-09-22,False,1000PEPEUSDT,1,0.002737807267831378,0.5708527631823012,0.0015628848439021286,0.0007814424219510643
2026-09-23,trend,1,2026-09-22,False,ACEUSDT,-1,-0.000961383303710628,0.5708527631823012,-0.0005488083154005414,0.0002744041577002707
2026-09-23,trend,1,2026-09-22,False,ADAUSDT,1,0.0036526911328742897,0.5708527631823012,0.002085148826252778,0.001042574413126389
2026-09-23,trend,1,2026-09-22,False,AKEUSDT,1,0.00046494604021710573,0.5708527631823012,0.0002654157317886041,0.00013270786589430206
2026-09-23,trend,1,2026-09-22,False,BNBUSDT,1,0.006991763530124156,0.5708527631823012,0.003991267530688615,0.0019956337653443076
2026-09-23,trend,1,2026-09-22,False,BTCUSDT,1,0.006584342715449326,0.5708527631823012,0.0037586902328535037,0.0018793451164267519
2026-09-23,trend,1,2026-09-22,False,BTWUSDT,1,0.0009859675121142145,0.5708527631823012,0.0005628422786983783,0.00028142113934918916
2026-09-23,trend,1,2026-09-22,False,CYSUSDT,-1,-0.0009191892918627984,0.5708527631823012,-0.0005247217471474612,0.0002623608735737306
2026-09-23,trend,1,2026-09-22,False,DOGEUSDT,1,0.004125216413227783,0.5708527631823012,0.0023548911882160612,0.0011774455941080306
2026-09-23,trend,1,2026-09-22,False,ENAUSDT,1,0.00222612487437482,0.5708527631823012,0.001270789535725719,0.0006353947678628595
2026-09-23,trend,1,2026-09-22,False,ETHUSDT,1,0.004851305576552145,0.5708527631823012,0.0027693811934164985,0.0013846905967082493
2026-09-23,trend,1,2026-09-22,False,HYPEUSDT,1,0.0033467824410490198,0.5708527631823012,0.0019105200042428398,0.0009552600021214199
